Country,exchange_rate,target_currency,trading_date,source_currency
United Arab Emirates,3.671,AED,01/01/2023,USD
Armenia,485.636,AMD,01/01/2023,USD
Argentina,127.314,ARS,01/01/2023,USD
AUSTRALIA,1.499,AUD,01/01/2023,USD
Bulgaria,1.8611,BGN,01/01/2023,USD
BRAZIL,5.2436,BRL,01/01/2023,USD
CANADA,1.3339,CAD,01/01/2023,USD
SWITZERLAND,0.9733,CHF,01/01/2023,USD
Chile,874.0951,CLP,01/01/2023,USD
CHINA,7.0195,CNY,01/01/2023,USD
Colombia,4213.397,COP,01/01/2023,USD
Czech Republic,23.4042,CZK,01/01/2023,USD
DENMARK,7.517,DKK,01/01/2023,USD
Egypt,18.6195,EGP,01/01/2023,USD
EU,0.9899,EUR,01/01/2023,USD
United Kingdom,0.8834,GBP,01/01/2023,USD
HONG KONG,7.8494,HKD,01/01/2023,USD
Hungary,371.419,HUF,01/01/2023,USD
Indonesia,15105,IDR,01/01/2023,USD
Israel,3.3487,ILS,01/01/2023,USD
INDIA,80.2538,INR,01/01/2023,USD
Jordan,0.7091,JOD,01/01/2023,USD
JAPAN,143.2843,JPY,01/01/2023,USD
Kenya,117.9577,KES,01/01/2023,USD
south KOREA,1396.3729,KRW,01/01/2023,USD
SRI LANKA,358.9229,LKR,01/01/2023,USD
MEXICO,20.0689,MXN,01/01/2023,USD
Malaysia,4.5463,MYR,01/01/2023,USD
Nicaragua,35.8026,NIO,01/01/2023,USD
NORWAY,10.2983,NOK,01/01/2023,USD
NEW ZEALAND,1.6898,NZD,01/01/2023,USD
Philippines,54.3827,PHP,01/01/2023,USD
Poland,0.9899,PLN,01/01/2023,USD
SWEDEN,10.9101,SEK,01/01/2023,USD
Singapore,1.4144,SGD,01/01/2023,USD
THAILAND,37.0662,THB,01/01/2023,USD
Turkey,16.15508885,TRY,01/01/2023,USD
TAIWAN,31.2786,TWD,01/01/2023,USD
Ukraine,31.94888179,UAH,01/01/2023,USD
United States,1,USD,01/01/2023,USD
Uraguay,41.4119,UYU,01/01/2023,USD
Vietnam,23335.01357,VND,01/01/2023,USD
SOUTH AFRICA,17.5983,ZAR,01/01/2023,USD
Zambia,17.0665,ZMW,01/01/2023,USD
